Year,Category,Energy Carrier,TJ
1980,Energy conversion - various renewable,Money,
1980,Energy conversion - various renewable,Garbage and industrial waste,
1980,Energy conversion - various renewable,crude oil,
1980,Energy conversion - various renewable,Extendation of renewable energies,
1980,Energy conversion - various renewable,Hydropower,
1980,Energy conversion - gas works,electricity,
1980,Energy conversion - gas works,Petroleum,-840.0
1980,Energy conversion - gas works,District heating,
1980,Energy conversion - gas works,gas,720.0
1980,Energy conversion - gas works,Wood energy,
1980,Energy conversion - gas works,Core fuel,
1980,Energy conversion - gas works,Money,
1980,Energy conversion - gas works,Garbage and industrial waste,
1980,Energy conversion - gas works,crude oil,
1980,Energy conversion - gas works,Extendation of renewable energies,
1980,Energy conversion - gas works,Hydropower,
1980,Energy conversion - nuclear power plants,electricity,49190.0
1980,Energy conversion - nuclear power plants,Petroleum,
1980,Energy conversion - nuclear power plants,District heating,120.0
1980,Energy conversion - nuclear power plants,gas,
1980,Energy conversion - nuclear power plants,Wood energy,
1980,Energy conversion - nuclear power plants,Core fuel,-149050.0
1980,Energy conversion - nuclear power plants,Money,
1980,Energy conversion - nuclear power plants,Garbage and industrial waste,
1980,Energy conversion - nuclear power plants,crude oil,
1980,Energy conversion - nuclear power plants,Extendation of renewable energies,
1980,Energy conversion - nuclear power plants,Hydropower,
1980,Energy conversion - refineries,electricity,
1980,Energy conversion - refineries,Petroleum,190500.0
1980,Energy conversion - refineries,District heating,
1980,Energy conversion - refineries,gas,
1980,Energy conversion - refineries,Wood energy,
1980,Energy conversion - refineries,Core fuel,
1980,Energy conversion - refineries,Money,
1980,Energy conversion - refineries,Garbage and industrial waste,
1980,Energy conversion - refineries,crude oil,-191970.0
1980,Energy conversion - refineries,Extendation of renewable energies,
1980,Energy conversion - refineries,Hydropower,
1980,Energy conversion - hydropower plants,electricity,120750.0
1980,Energy conversion - hydropower plants,Petroleum,
1980,Energy conversion - hydropower plants,District heating,
1980,Energy conversion - hydropower plants,gas,
1980,Energy conversion - hydropower plants,Wood energy,
1980,Energy conversion - hydropower plants,Core fuel,
1980,Energy conversion - hydropower plants,Money,
1980,Energy conversion - hydropower plants,Garbage and industrial waste,
1980,Energy conversion - hydropower plants,crude oil,
1980,Energy conversion - hydropower plants,Extendation of renewable energies,
1980,Energy conversion - hydropower plants,Hydropower,-120750.0
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",electricity,3440.0
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",Petroleum,-6780.0
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",District heating,8800.0
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",gas,-4360.0
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",Wood energy,0.0
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",Core fuel,
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",Money,-670.0
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",Garbage and industrial waste,-6400.0
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",crude oil,
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",Extendation of renewable energies,
1980,"Energy conversion- conventional-thermal power, television heating and television power plants",Hydropower,
1980,export,electricity,-65260.0
1980,export,Petroleum,-1970.0
1980,export,District heating,
1980,export,gas,-580.0
1980,export,Wood energy,
1980,export,Core fuel,
1980,export,Money,
1980,export,Garbage and industrial waste,
1980,export,crude oil,
1980,export,Extendation of renewable energies,
1980,export,Hydropower,
1980,import,electricity,35810.0
1980,import,Petroleum,338250.0
1980,import,District heating,
1980,import,gas,36860.0
1980,import,Wood energy,220.0
1980,import,Core fuel,149050.0
1980,import,Money,22100.0
1980,import,Garbage and industrial waste,
1980,import,crude oil,192810.0
1980,import,Extendation of renewable energies,
1980,import,Hydropower,
1980,Domestic production,electricity,
1980,Domestic production,Petroleum,
1980,Domestic production,District heating,
1980,Domestic production,gas,0.0
1980,Domestic production,Wood energy,26060.0
1980,Domestic production,Core fuel,
1980,Domestic production,Money,0.0
1980,Domestic production,Garbage and industrial waste,10100.0
1980,Domestic production,crude oil,0.0
1980,Domestic production,Extendation of renewable energies,
1980,Domestic production,Hydropower,120750.0
1980,Warehouse change,electricity,
1980,Warehouse change,Petroleum,-15030.0
1980,Warehouse change,District heating,
1980,Warehouse change,gas,
1980,Warehouse change,Wood energy,
1980,Warehouse change,Core fuel,
1980,Warehouse change,Money,-7800.0
1980,Warehouse change,Garbage and industrial waste,
1980,Warehouse change,crude oil,-840.0
1980,Warehouse change,Extendation of renewable energies,
1980,Warehouse change,Hydropower,
1980,Non -energy consumption,electricity,
1980,Non -energy consumption,Petroleum,-6320.0
1980,Non -energy consumption,District heating,
1980,Non -energy consumption,gas,
1980,Non -energy consumption,Wood energy,
1980,Non -energy consumption,Core fuel,
1980,Non -energy consumption,Money,
1980,Non -energy consumption,Garbage and industrial waste,
1980,Non -energy consumption,crude oil,
1980,Non -energy consumption,Extendation of renewable energies,
1980,Non -energy consumption,Hydropower,
1981,Gross consumption,electricity,-38560.0
1981,Gross consumption,Petroleum,340250.0
1981,Gross consumption,District heating,0.0
1981,Gross consumption,gas,39140.0
1981,Gross consumption,Wood energy,25480.0
1981,Gross consumption,Core fuel,157770.0
1981,Gross consumption,Money,21150.0
1981,Gross consumption,Garbage and industrial waste,14040.0
1981,Gross consumption,crude oil,168430.0
1981,Gross consumption,Extendation of renewable energies,
1981,Gross consumption,Hydropower,129950.0
1981,"Self -consumption of the energy sector, network losses, consumption of storage",electricity,-16590.0
1981,"Self -consumption of the energy sector, network losses, consumption of storage",Petroleum,-7790.0
1981,"Self -consumption of the energy sector, network losses, consumption of storage",District heating,-1000.0
1981,"Self -consumption of the energy sector, network losses, consumption of storage",gas,-2170.0
1981,"Self -consumption of the energy sector, network losses, consumption of storage",Wood energy,
1981,"Self -consumption of the energy sector, network losses, consumption of storage",Core fuel,
1981,"Self -consumption of the energy sector, network losses, consumption of storage",Money,
1981,"Self -consumption of the energy sector, network losses, consumption of storage",Garbage and industrial waste,
1981,"Self -consumption of the energy sector, network losses, consumption of storage",crude oil,
1981,"Self -consumption of the energy sector, network losses, consumption of storage",Extendation of renewable energies,
1981,"Self -consumption of the energy sector, network losses, consumption of storage",Hydropower,
1981,End consumption - services,electricity,34470.0
1981,End consumption - services,Petroleum,74000.0
1981,End consumption - services,District heating,4860.0
1981,End consumption - services,gas,5960.0
1981,End consumption - services,Wood energy,1050.0
1981,End consumption - services,Core fuel,
1981,End consumption - services,Money,30.0
1981,End consumption - services,Garbage and industrial waste,0.0
1981,End consumption - services,crude oil,
1981,End consumption - services,Extendation of renewable energies,
1981,End consumption - services,Hydropower,
1981,End consumption - households,electricity,36620.0
1981,End consumption - households,Petroleum,152670.0
1981,End consumption - households,District heating,2220.0
1981,End consumption - households,gas,12210.0
1981,End consumption - households,Wood energy,22670.0
1981,End consumption - households,Core fuel,
1981,End consumption - households,Money,3060.0
1981,End consumption - households,Garbage and industrial waste,0.0
1981,End consumption - households,crude oil,
1981,End consumption - households,Extendation of renewable energies,
1981,End consumption - households,Hydropower,
1981,End consumption - industry,electricity,49370.0
1981,End consumption - industry,Petroleum,54490.0
1981,End consumption - industry,District heating,1240.0
1981,End consumption - industry,gas,13260.0
1981,End consumption - industry,Wood energy,1760.0
1981,End consumption - industry,Core fuel,
1981,End consumption - industry,Money,17020.0
1981,End consumption - industry,Garbage and industrial waste,4600.0
1981,End consumption - industry,crude oil,
1981,End consumption - industry,Extendation of renewable energies,
1981,End consumption - industry,Hydropower,
1981,End consumption - statistical difference including agriculture,electricity,2260.0
1981,End consumption - statistical difference including agriculture,Petroleum,2930.0
1981,End consumption - statistical difference including agriculture,District heating,0.0
1981,End consumption - statistical difference including agriculture,gas,1570.0
1981,End consumption - statistical difference including agriculture,Wood energy,0.0
1981,End consumption - statistical difference including agriculture,Core fuel,
1981,End consumption - statistical difference including agriculture,Money,0.0
1981,End consumption - statistical difference including agriculture,Garbage and industrial waste,0.0
1981,End consumption - statistical difference including agriculture,crude oil,
1981,End consumption - statistical difference including agriculture,Extendation of renewable energies,
1981,End consumption - statistical difference including agriculture,Hydropower,
1981,End consumption - total,electricity,130300.0
1981,End consumption - total,Petroleum,465710.0
1981,End consumption - total,District heating,8320.0
1981,End consumption - total,gas,33370.0
1981,End consumption - total,Wood energy,25480.0
1981,End consumption - total,Core fuel,0.0
1981,End consumption - total,Money,20110.0
1981,End consumption - total,Garbage and industrial waste,4600.0
1981,End consumption - total,crude oil,0.0
1981,End consumption - total,Extendation of renewable energies,
1981,End consumption - total,Hydropower,0.0
1981,End consumption - traffic,electricity,7580.0
1981,End consumption - traffic,Petroleum,181620.0
1981,End consumption - traffic,District heating,
1981,End consumption - traffic,gas,370.0
1981,End consumption - traffic,Wood energy,
1981,End consumption - traffic,Core fuel,
1981,End consumption - traffic,Money,
1981,End consumption - traffic,Garbage and industrial waste,
1981,End consumption - traffic,crude oil,
1981,End consumption - traffic,Extendation of renewable energies,
1981,End consumption - traffic,Hydropower,
1981,Energy conversion - various renewable,electricity,
1981,Energy conversion - various renewable,Petroleum,
1981,Energy conversion - various renewable,District heating,0.0
1981,Energy conversion - various renewable,gas,
1981,Energy conversion - various renewable,Wood energy,0.0
1981,Energy conversion - various renewable,Core fuel,
1981,Energy conversion - various renewable,Money,
1981,Energy conversion - various renewable,Garbage and industrial waste,
1981,Energy conversion - various renewable,crude oil,
1981,Energy conversion - various renewable,Extendation of renewable energies,
1981,Energy conversion - various renewable,Hydropower,
1981,Energy conversion - gas works,electricity,
1981,Energy conversion - gas works,Petroleum,-760.0
1981,Energy conversion - gas works,District heating,
1981,Energy conversion - gas works,gas,560.0
1981,Energy conversion - gas works,Wood energy,
1981,Energy conversion - gas works,Core fuel,
1981,Energy conversion - gas works,Money,
1981,Energy conversion - gas works,Garbage and industrial waste,
1981,Energy conversion - gas works,crude oil,
1981,Energy conversion - gas works,Extendation of renewable energies,
1981,Energy conversion - gas works,Hydropower,
1981,Energy conversion - nuclear power plants,electricity,52060.0
1981,Energy conversion - nuclear power plants,Petroleum,
1981,Energy conversion - nuclear power plants,District heating,430.0
1981,Energy conversion - nuclear power plants,gas,
1981,Energy conversion - nuclear power plants,Wood energy,
1981,Energy conversion - nuclear power plants,Core fuel,-157770.0
1981,Energy conversion - nuclear power plants,Money,
1981,Energy conversion - nuclear power plants,Garbage and industrial waste,
1981,Energy conversion - nuclear power plants,crude oil,
1981,Energy conversion - nuclear power plants,Extendation of renewable energies,
1981,Energy conversion - nuclear power plants,Hydropower,
1981,Energy conversion - refineries,electricity,
1981,Energy conversion - refineries,Petroleum,166880.0
1981,Energy conversion - refineries,District heating,
1981,Energy conversion - refineries,gas,
1981,Energy conversion - refineries,Wood energy,
1981,Energy conversion - refineries,Core fuel,
1981,Energy conversion - refineries,Money,
1981,Energy conversion - refineries,Garbage and industrial waste,
1981,Energy conversion - refineries,crude oil,-168430.0
1981,Energy conversion - refineries,Extendation of renewable energies,
1981,Energy conversion - refineries,Hydropower,
1981,Energy conversion - hydropower plants,electricity,129950.0
1981,Energy conversion - hydropower plants,Petroleum,
1981,Energy conversion - hydropower plants,District heating,
1981,Energy conversion - hydropower plants,gas,
1981,Energy conversion - hydropower plants,Wood energy,
1981,Energy conversion - hydropower plants,Core fuel,
1981,Energy conversion - hydropower plants,Money,
1981,Energy conversion - hydropower plants,Garbage and industrial waste,
1981,Energy conversion - hydropower plants,crude oil,
1981,Energy conversion - hydropower plants,Extendation of renewable energies,
1981,Energy conversion - hydropower plants,Hydropower,-129950.0
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",electricity,3440.0
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",Petroleum,-5110.0
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",District heating,8890.0
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",gas,-4160.0
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",Wood energy,0.0
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",Core fuel,
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",Money,-1040.0
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",Garbage and industrial waste,-9440.0
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",crude oil,
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",Extendation of renewable energies,
1981,"Energy conversion- conventional-thermal power, television heating and television power plants",Hydropower,
1981,export,electricity,-73980.0
1981,export,Petroleum,-2220.0
1981,export,District heating,
1981,export,gas,
1981,export,Wood energy,
1981,export,Core fuel,
1981,export,Money,-30.0
1981,export,Garbage and industrial waste,
1981,export,crude oil,
1981,export,Extendation of renewable energies,
1981,export,Hydropower,
1981,import,electricity,35420.0
1981,import,Petroleum,328780.0
1981,import,District heating,
1981,import,gas,39140.0
1981,import,Wood energy,220.0
1981,import,Core fuel,157770.0
1981,import,Money,29850.0
1981,import,Garbage and industrial waste,
1981,import,crude oil,167300.0
1981,import,Extendation of renewable energies,
1981,import,Hydropower,
1981,Domestic production,electricity,
1981,Domestic production,Petroleum,
1981,Domestic production,District heating,
1981,Domestic production,gas,0.0
1981,Domestic production,Wood energy,25260.0
1981,Domestic production,Core fuel,
1981,Domestic production,Money,0.0
1981,Domestic production,Garbage and industrial waste,14040.0
1981,Domestic production,crude oil,0.0
1981,Domestic production,Extendation of renewable energies,
1981,Domestic production,Hydropower,129950.0
1981,Warehouse change,electricity,
1981,Warehouse change,Petroleum,13690.0
1981,Warehouse change,District heating,
1981,Warehouse change,gas,
1981,Warehouse change,Wood energy,
1981,Warehouse change,Core fuel,
1981,Warehouse change,Money,-8670.0
1981,Warehouse change,Garbage and industrial waste,
1981,Warehouse change,crude oil,1130.0
1981,Warehouse change,Extendation of renewable energies,
1981,Warehouse change,Hydropower,
1981,Non -energy consumption,electricity,
1981,Non -energy consumption,Petroleum,-27760.0
1981,Non -energy consumption,District heating,
1981,Non -energy consumption,gas,
1981,Non -energy consumption,Wood energy,
1981,Non -energy consumption,Core fuel,
1981,Non -energy consumption,Money,
1981,Non -energy consumption,Garbage and industrial waste,
1981,Non -energy consumption,crude oil,
1981,Non -energy consumption,Extendation of renewable energies,
1981,Non -energy consumption,Hydropower,
1982,Gross consumption,electricity,-38970.0
1982,Gross consumption,Petroleum,318750.0
1982,Gross consumption,District heating,0.0
1982,Gross consumption,gas,41340.0
1982,Gross consumption,Wood energy,24930.0
1982,Gross consumption,Core fuel,155740.0
1982,Gross consumption,Money,18710.0
1982,Gross consumption,Garbage and industrial waste,16200.0
1982,Gross consumption,crude oil,166050.0
1982,Gross consumption,Extendation of renewable energies,
1982,Gross consumption,Hydropower,133330.0
1982,"Self -consumption of the energy sector, network losses, consumption of storage",electricity,-17030.0
1982,"Self -consumption of the energy sector, network losses, consumption of storage",Petroleum,-7410.0
1982,"Self -consumption of the energy sector, network losses, consumption of storage",District heating,-980.0
1982,"Self -consumption of the energy sector, network losses, consumption of storage",gas,-1920.0
1982,"Self -consumption of the energy sector, network losses, consumption of storage",Wood energy,
1982,"Self -consumption of the energy sector, network losses, consumption of storage",Core fuel,
1982,"Self -consumption of the energy sector, network losses, consumption of storage",Money,
1982,"Self -consumption of the energy sector, network losses, consumption of storage",Garbage and industrial waste,
1982,"Self -consumption of the energy sector, network losses, consumption of storage",crude oil,
1982,"Self -consumption of the energy sector, network losses, consumption of storage",Extendation of renewable energies,
1982,"Self -consumption of the energy sector, network losses, consumption of storage",Hydropower,
1982,End consumption - services,electricity,36600.0
1982,End consumption - services,Petroleum,66940.0
1982,End consumption - services,District heating,4450.0
1982,End consumption - services,gas,6920.0
1982,End consumption - services,Wood energy,1110.0
1982,End consumption - services,Core fuel,
1982,End consumption - services,Money,40.0
1982,End consumption - services,Garbage and industrial waste,0.0
1982,End consumption - services,crude oil,
1982,End consumption - services,Extendation of renewable energies,
1982,End consumption - services,Hydropower,
1982,End consumption - households,electricity,35910.0
1982,End consumption - households,Petroleum,145530.0
1982,End consumption - households,District heating,2390.0
1982,End consumption - households,gas,13520.0
1982,End consumption - households,Wood energy,21710.0
1982,End consumption - households,Core fuel,
1982,End consumption - households,Money,3190.0
1982,End consumption - households,Garbage and industrial waste,0.0
1982,End consumption - households,crude oil,
1982,End consumption - households,Extendation of renewable energies,
1982,End consumption - households,Hydropower,
1982,End consumption - industry,electricity,49430.0
1982,End consumption - industry,Petroleum,49650.0
1982,End consumption - industry,District heating,1590.0
1982,End consumption - industry,gas,13520.0
1982,End consumption - industry,Wood energy,2110.0
1982,End consumption - industry,Core fuel,
1982,End consumption - industry,Money,14560.0
1982,End consumption - industry,Garbage and industrial waste,4880.0
1982,End consumption - industry,crude oil,
1982,End consumption - industry,Extendation of renewable energies,
1982,End consumption - industry,Hydropower,
1982,End consumption - statistical difference including agriculture,electricity,2760.0
1982,End consumption - statistical difference including agriculture,Petroleum,2820.0
1982,End consumption - statistical difference including agriculture,District heating,0.0
1982,End consumption - statistical difference including agriculture,gas,1480.0
1982,End consumption - statistical difference including agriculture,Wood energy,0.0
1982,End consumption - statistical difference including agriculture,Core fuel,
1982,End consumption - statistical difference including agriculture,Money,0.0
1982,End consumption - statistical difference including agriculture,Garbage and industrial waste,0.0
1982,End consumption - statistical difference including agriculture,crude oil,
1982,End consumption - statistical difference including agriculture,Extendation of renewable energies,
1982,End consumption - statistical difference including agriculture,Hydropower,
1982,End consumption - total,electricity,132230.0
1982,End consumption - total,Petroleum,448660.0
1982,End consumption - total,District heating,8430.0
1982,End consumption - total,gas,35830.0
1982,End consumption - total,Wood energy,24930.0
1982,End consumption - total,Core fuel,0.0
1982,End consumption - total,Money,17790.0
1982,End consumption - total,Garbage and industrial waste,4880.0
1982,End consumption - total,crude oil,0.0
1982,End consumption - total,Extendation of renewable energies,
1982,End consumption - total,Hydropower,0.0
1982,End consumption - traffic,electricity,7530.0
1982,End consumption - traffic,Petroleum,183720.0
1982,End consumption - traffic,District heating,
1982,End consumption - traffic,gas,390.0
1982,End consumption - traffic,Wood energy,
1982,End consumption - traffic,Core fuel,
1982,End consumption - traffic,Money,
1982,End consumption - traffic,Garbage and industrial waste,
1982,End consumption - traffic,crude oil,
1982,End consumption - traffic,Extendation of renewable energies,
1982,End consumption - traffic,Hydropower,
1982,Energy conversion - various renewable,electricity,
1982,Energy conversion - various renewable,Petroleum,
1982,Energy conversion - various renewable,District heating,0.0
1982,Energy conversion - various renewable,gas,
1982,Energy conversion - various renewable,Wood energy,0.0
1982,Energy conversion - various renewable,Core fuel,
1982,Energy conversion - various renewable,Money,
1982,Energy conversion - various renewable,Garbage and industrial waste,
1982,Energy conversion - various renewable,crude oil,
1982,Energy conversion - various renewable,Extendation of renewable energies,
1982,Energy conversion - various renewable,Hydropower,
1982,Energy conversion - gas works,electricity,
1982,Energy conversion - gas works,Petroleum,-590.0
1982,Energy conversion - gas works,District heating,
1982,Energy conversion - gas works,gas,460.0
1982,Energy conversion - gas works,Wood energy,
1982,Energy conversion - gas works,Core fuel,
1982,Energy conversion - gas works,Money,
1982,Energy conversion - gas works,Garbage and industrial waste,
1982,Energy conversion - gas works,crude oil,
1982,Energy conversion - gas works,Extendation of renewable energies,
1982,Energy conversion - gas works,Hydropower,
1982,Energy conversion - nuclear power plants,electricity,51390.0
1982,Energy conversion - nuclear power plants,Petroleum,
1982,Energy conversion - nuclear power plants,District heating,490.0
1982,Energy conversion - nuclear power plants,gas,
1982,Energy conversion - nuclear power plants,Wood energy,
1982,Energy conversion - nuclear power plants,Core fuel,-155740.0
1982,Energy conversion - nuclear power plants,Money,
1982,Energy conversion - nuclear power plants,Garbage and industrial waste,
1982,Energy conversion - nuclear power plants,crude oil,
1982,Energy conversion - nuclear power plants,Extendation of renewable energies,
1982,Energy conversion - nuclear power plants,Hydropower,
1982,Energy conversion - refineries,electricity,
1982,Energy conversion - refineries,Petroleum,164540.0
1982,Energy conversion - refineries,District heating,
1982,Energy conversion - refineries,gas,
1982,Energy conversion - refineries,Wood energy,
1982,Energy conversion - refineries,Core fuel,
1982,Energy conversion - refineries,Money,
1982,Energy conversion - refineries,Garbage and industrial waste,
1982,Energy conversion - refineries,crude oil,-166050.0
1982,Energy conversion - refineries,Extendation of renewable energies,
1982,Energy conversion - refineries,Hydropower,
1982,Energy conversion - hydropower plants,electricity,133330.0
1982,Energy conversion - hydropower plants,Petroleum,
1982,Energy conversion - hydropower plants,District heating,
1982,Energy conversion - hydropower plants,gas,
1982,Energy conversion - hydropower plants,Wood energy,
1982,Energy conversion - hydropower plants,Core fuel,
1982,Energy conversion - hydropower plants,Money,
1982,Energy conversion - hydropower plants,Garbage and industrial waste,
1982,Energy conversion - hydropower plants,crude oil,
1982,Energy conversion - hydropower plants,Extendation of renewable energies,
1982,Energy conversion - hydropower plants,Hydropower,-133330.0
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",electricity,3510.0
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",Petroleum,-5950.0
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",District heating,8920.0
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",gas,-4050.0
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",Wood energy,0.0
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",Core fuel,
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",Money,-920.0
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",Garbage and industrial waste,-11320.0
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",crude oil,
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",Extendation of renewable energies,
1982,"Energy conversion- conventional-thermal power, television heating and television power plants",Hydropower,
1982,export,electricity,-71520.0
1982,export,Petroleum,-3140.0
1982,export,District heating,
1982,export,gas,
1982,export,Wood energy,
1982,export,Core fuel,
1982,export,Money,0.0
1982,export,Garbage and industrial waste,
1982,export,crude oil,
1982,export,Extendation of renewable energies,
1982,export,Hydropower,
1982,import,electricity,32550.0
1982,import,Petroleum,297560.0
1982,import,District heating,
1982,import,gas,41340.0
1982,import,Wood energy,280.0
1982,import,Core fuel,155740.0
1982,import,Money,17130.0
1982,import,Garbage and industrial waste,
1982,import,crude oil,166090.0
1982,import,Extendation of renewable energies,
1982,import,Hydropower,
1982,Domestic production,electricity,
1982,Domestic production,Petroleum,
1982,Domestic production,District heating,
1982,Domestic production,gas,0.0
1982,Domestic production,Wood energy,24650.0
1982,Domestic production,Core fuel,
1982,Domestic production,Money,0.0
1982,Domestic production,Garbage and industrial waste,16200.0
1982,Domestic production,crude oil,0.0
1982,Domestic production,Extendation of renewable energies,
1982,Domestic production,Hydropower,133330.0
1982,Warehouse change,electricity,
1982,Warehouse change,Petroleum,24330.0
1982,Warehouse change,District heating,
1982,Warehouse change,gas,
1982,Warehouse change,Wood energy,
1982,Warehouse change,Core fuel,
1982,Warehouse change,Money,1580.0
1982,Warehouse change,Garbage and industrial waste,
1982,Warehouse change,crude oil,-40.0
1982,Warehouse change,Extendation of renewable energies,
1982,Warehouse change,Hydropower,
1982,Non -energy consumption,electricity,
1982,Non -energy consumption,Petroleum,-20680.0
1982,Non -energy consumption,District heating,
1982,Non -energy consumption,gas,
1982,Non -energy consumption,Wood energy,
1982,Non -energy consumption,Core fuel,
1982,Non -energy consumption,Money,
1982,Non -energy consumption,Garbage and industrial waste,
1982,Non -energy consumption,crude oil,
1982,Non -energy consumption,Extendation of renewable energies,
1982,Non -energy consumption,Hydropower,
1983,Gross consumption,electricity,-33280.0
